id,tokens,tags
0,"['In' 'eVect,' 'como' 'veremos' 'más' 'adelante,' 'las' 'biosferas'
 'pueden' 'maximizar' 'el' 'crecimiento' 'sostenido' 'promedio' 'de' 'su'
 'propia' 'dimensionalidad.']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
1,"['A' 'diferencia' 'de' 'otros' 'teatros' 'sin' 'ánimos' 'de' 'lucro' 'de'
 'la' 'ciudad,' 'nuestros' 'actores' 'se' 'ganan' 'la' 'vida' 'con' 'su'
 'oficio.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2,"['Mucho' 'se' 'ha' 'hablado' 'de' 'contratar' 'a' 'Michael' 'Apted' 'para'
 'darle' 'un' 'toque' 'más' 'humano' 'a' 'la' 'serie.']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
3,"['Nuestras' 'fronteras' 'y' 'el' 'sistema' 'de' 'inmigración,' 'incluida'
 'la' 'aplicación' 'de' 'la' 'ley,' 'deben' 'enviar' 'un' 'mensaje' 'de'
 'bienvenida,' 'tolerancia' 'y' 'justicia' 'a' 'los' 'miembros' 'de' 'las'
 'comunidades' 'de' 'inmigrantes' 'en' 'los' 'Estados' 'Unidos' 'y' 'en'
 'sus' 'países' 'de' 'origen.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
4,"['De' 'hecho,' 'tu' 'historial' 'de' 'apoyo' 'a' 'la' 'Sociedad' 'Lowell'
 'Nussbaum' 'paga' 'mucho' 'más' 'que' 'tu' 'alquiler.']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
5,"['Del' 'mismo' 'modo,' 'el' 'riesgo' 'general' 'asociado' 'con'
 'consumidores' 'volátiles,' 'numerosas' 'temporadas' 'de' 'ventas' 'y'
 'mercados' 'segmentados,' 'junto' 'con' 'una' 'competencia'
 'internacional' 'feroz' 'han' 'hecho' 'que' 'se' 'convierta' 'en' 'una'
 'escena' 'dura' 'para' 'los' 'minoristas' 'y' 'fabricantes' 'americanos.']","[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0
 0]"
6,"['Solo' 'a' 'unas' 'manzanas' 'en' 'la' 'trasera' 'del' 'Malecen' 'hay'
 'una' 'creciente' 'cantidad' 'de' 'clubes' 'únicos' 'con' 'un' 'toque'
 'más' 'urbano.']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
7,"['La' 'democratización' 'tampoco' 'cambia' 'la' 'realidad' 'subyacente'
 'de' 'la' 'geografía' 'internacional.']",[0 0 0 0 0 0 0 0 0 0 0]
8,"['Las' 'quejas' 'cubrían' 'problemas' 'de' 'equipaje,' 'azafatas,'
 'vuelos' 'misteriosamente' 'cancelados,' 'atrocidades' 'cometidas,'
 'etc.']",[0 0 1 0 0 0 0 0 0 0 0 0 0]
9,"['Llegaron' 'a' 'la' 'conclusión' 'de' 'que' 'ninguno' 'de' 'los'
 'pasajeros' 'estaba' 'relacionado' 'con' 'los' 'ataques' 'del' '11' 'de'
 'septiembre' 'y' 'desde' 'entonces' 'no' 'han' 'encontrado' 'evidencia'
 'alguna' 'que' 'haga' 'cambiar' 'esa' 'conclusión.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
